DATE,AVG_PRICE
2014-09-30,1435.423076923077
2014-12-31,1230.891129032258
2015-03-31,1193.047619047619
2015-06-30,1125.811475409836
2015-09-30,989.0230769230769
2015-12-31,909.8225806451613
2016-03-31,914.7258064516129
2016-06-30,1003.3650793650794
2016-09-30,1086.3538461538462
2016-12-31,946.0573770491803
2017-03-31,979.5546875
2017-06-30,939.327868852459
2017-09-30,952.796875
2017-12-31,921.2868852459017
2018-03-31,977.686507936508
2018-06-30,904.0887096774194
2018-09-30,814.09765625
2018-12-31,824.5595238095239
2019-03-31,822.468253968254
2019-06-30,842.7377049180328
2019-09-30,880.671875
2019-12-31,906.2301587301587
2020-03-31,902.59375
2020-06-30,791.8416666666667
2020-09-30,902.1076923076923
2020-12-31,938.4296875
2021-03-31,1160.2698412698412
2021-06-30,1180.5245901639344
2021-09-30,1024.3384615384616
2021-12-31,1004.503984375
2022-03-31,1030.357142857143
2022-06-30,957.85
2022-09-30,886.9140625
2022-12-31,970.8253968253969
2023-03-31,993.7421875
2023-06-30,1051.8255813953488
